Portfolio,Alpha_Ann,Alpha_tstat,Mkt_Beta,Mkt_tstat,SMB,HML,UMD,Adj_R2,N_obs,Alpha_Ann_%
HFS_Sell_20d_Pre2020,3.3,0.56,0.92,19.78,0.01,0.22,-0.16,0.538,839,3.3
HFS_Sell_20d_Post2020,-23.28,-2.08,1.11,34.04,0.24,0.23,-0.26,0.581,1312,-23.28**
HFS_Sell_5d_Horizon,-45.72,-2.57,1.04,18.39,0.22,0.12,-0.36,0.378,1179,-45.72**
HFS_Sell_10d_Horizon,-32.46,-2.73,1.06,19.79,0.15,0.26,-0.22,0.467,1674,-32.46***
HFS_Sell_40d_Horizon,-15.84,-3.14,1.08,46.89,0.11,0.23,-0.27,0.677,2498,-15.84***
HFS_Sell_20d_Winsorized_1%,-11.69,-1.76,0.93,15.6,0.21,0.17,-0.2,0.538,2144,-11.69*
