Portfolio,Alpha_Ann,Alpha_tstat,Mkt_Beta,Mkt_tstat,SMB,HML,UMD,Adj_R2,N_obs,Alpha_Ann_%
All_Jur_Sell_Pre2020,-7.46,-2.37,0.99,43.5,-0.02,-0.07,-0.16,0.687,1563,-7.46**
All_Jur_Sell_Post2020,-15.6,-3.64,0.96,38.15,0.12,0.08,-0.1,0.81,1507,-15.6***
All_Jur_Sell_Winsorized_1%,-8.98,-3.09,0.8,12.65,0.14,-0.0,-0.12,0.696,3058,-8.98***
All_Jur_Sell_CAPM_Only,-12.39,-4.47,0.99,56.94,,,,0.757,3058,-12.39***
